id,Expected
test/NSklfSDmid.jpg,38
test/mLVggEcQSs.jpg,58
test/dNklPsHZdF.jpg,5
test/MvVlQPkRHo.jpg,40
test/JoWwDAaAKP.jpg,16
test/QPwWiJULSH.jpg,59
test/snuFXqartX.jpg,38
test/huRCadonqt.jpg,39
test/gfwbhDXAIj.jpg,92
test/twmrQQPcgM.jpg,52
test/ruQYnFwzaa.jpg,38
test/agbzWllQSo.jpg,67
test/hGoKSLDxGI.jpg,26
test/AxIkpNrQbg.jpg,12
test/LrgllggwEm.jpg,30
test/xVNfcoKLvy.jpg,15
test/AixchHnvcs.jpg,86
test/BhNpJkUzCq.jpg,96
test/DhkggNXnyW.jpg,98
test/FKpQUKBsXq.jpg,91
test/WVPpBMkEAE.jpg,52
test/oxHAsoaAMV.jpg,21
test/DVzCiIUkJW.jpg,71
test/YPSChyggSV.jpg,13
test/hbEndIgzuW.jpg,13
test/eNmlZHpOGE.jpg,0
test/PaNtykwJnG.jpg,77
test/aYegPidJCa.jpg,65
test/mZfsPHgKqt.jpg,0
test/eGkXNCenOP.jpg,57
test/IIdtGhpQLP.jpg,97
test/xusMkpJFFz.jpg,92
test/xZJytpbEqv.jpg,1
test/QWGRfGgJIX.jpg,83
test/LSQKYEEkHc.jpg,40
test/oqmpZVhqWD.jpg,50
test/DCJlnjTayt.jpg,52
test/keKwAjYjfM.jpg,37
test/iyOOPyCemG.jpg,68
test/FKFNJfGKmX.jpg,55
test/UgGWYwziqF.jpg,36
test/NbqRLzDzvG.jpg,55
test/OAkKBFSFna.jpg,3
test/MUppSONBkr.jpg,32
test/EzKMfbQlUU.jpg,14
test/BxoWDzfjUW.jpg,20
test/sbwEgPhhvM.jpg,18
test/NquNPzRAKt.jpg,2
test/ftTbEkrpGk.jpg,35
test/FGRYVfVHlT.jpg,18
test/lwhBBlmKdV.jpg,88
test/YqAcqAcGPC.jpg,64
test/mvedigEzFF.jpg,81
test/RGBxGWPQdj.jpg,75
test/OfHupXHGLG.jpg,18
test/PqlcOxOeFy.jpg,14
test/vYmmTWdDjl.jpg,65
test/pItBdasQId.jpg,77
test/TJpwjAKBSU.jpg,37
test/NvaGJtRJGL.jpg,3
test/GsWRTpoBvT.jpg,56
test/URJLkHehCO.jpg,40
